recording_id,split,first_channel,second_channel,lag_samples,correlation,overlap_samples
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,InlineAcc,RollRate,-91.0,-0.2303987761935783,329.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,InlineAcc,PitchRate,65.0,0.2384914932469927,355.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,InlineAcc,YawRate,5.0,0.3084534025287163,415.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,LateralAcc,RollRate,-91.0,-0.264725607959218,329.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,LateralAcc,PitchRate,93.0,-0.2848619749545321,327.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,LateralAcc,YawRate,-64.0,-0.2408960887897482,356.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,RollRate,PitchRate,-20.0,0.3124961437710384,400.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,RollRate,YawRate,0.0,0.5905590453068855,420.0
c3c503093a73b359d513d025d9185c7ada423099650828cbd4fdba12d1d7aafc,test,PitchRate,YawRate,4.0,0.3617520953718019,416.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,InlineAcc,LateralAcc,1.0,0.7616394956117992,399.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,InlineAcc,RollRate,89.0,0.34501298817469517,311.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,InlineAcc,PitchRate,74.0,0.3435555993533789,326.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,InlineAcc,YawRate,83.0,0.3442016334544267,317.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,LateralAcc,RollRate,12.0,-0.2525735430723373,388.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,LateralAcc,PitchRate,81.0,0.21386967166887633,319.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,LateralAcc,YawRate,11.0,-0.2126160359053039,389.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,RollRate,PitchRate,12.0,0.5898941139171923,388.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,RollRate,YawRate,4.0,0.80634190968742,396.0
db4d46d3c8abd3b8d2327e52a99599c63e7bd8ed5f1b122d3047d731fc6d2684,test,PitchRate,YawRate,-1.0,0.5223532614630971,399.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,InlineAcc,LateralAcc,0.0,0.8872022754200808,3520.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,InlineAcc,RollRate,32.0,0.10039583087688488,3488.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,InlineAcc,PitchRate,39.0,0.08065191417724275,3481.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,InlineAcc,YawRate,45.0,0.08696728950383804,3475.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,LateralAcc,RollRate,-98.0,0.15424398863757816,3422.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,LateralAcc,PitchRate,-100.0,0.1429394116554173,3420.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,LateralAcc,YawRate,-100.0,0.1560995197796991,3420.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,RollRate,PitchRate,1.0,0.9191501326461728,3519.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,RollRate,YawRate,-2.0,0.9738748437204116,3518.0
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,PitchRate,YawRate,3.0,0.9366727292552182,3517.0
