elapsed_s,relative_heading_deg,centered_heading_deg,longitudinal_delta_v_m_s,lateral_delta_v_m_s
181.35,242.65888749999945,224.86845249999936,-245.82452138124933,-302.6402552713748
181.4,242.68088249999946,224.88554249999936,-245.94418702787436,-302.78061294949987
181.45,242.71330499999945,224.91305999999935,-246.09991662987431,-302.9470317999998
181.5,242.75888499999945,224.95373499999937,-246.29783934349936,-303.14816619149985
181.55,242.80395499999946,224.99389999999937,-246.5022834793744,-303.3511148132499
181.6,242.84038999999945,225.02542999999935,-246.67880317937434,-303.5324152551249
181.65,242.87705249999945,225.05718749999934,-246.81707694437438,-303.6875564581249
181.7,242.92212999999944,225.09735999999933,-246.93966006937433,-303.82541344049986
181.75,242.96977999999945,225.14010499999932,-247.05454497412435,-303.95449347112486
181.8,243.00758249999944,225.17300249999934,-247.1597458119994,-304.0799940744999
181.85,243.03864499999943,225.19915999999932,-247.26673636349935,-304.20988315374984
181.9,243.07075249999943,225.22636249999934,-247.36995135474936,-304.33815413574985
181.95,243.10124249999942,225.25194749999932,-247.46924368599932,-304.4657386522498
182.0,243.12991499999941,225.27571499999934,-247.57066896362434,-304.59660839649985
182.05,243.15798999999942,225.29888499999933,-247.67415363774936,-304.72718394124985
182.1,243.18461249999942,225.32060249999932,-247.7793299589993,-304.8580046522498
182.15,243.2125324999994,225.34361749999934,-247.88406498099934,-304.98926666249986
182.2,243.2386399999994,225.36481999999933,-247.9874025553743,-305.1191067084998
182.25,243.26108249999942,225.38235749999933,-248.08544453874933,-305.24298921462486
182.3,243.28393499999942,225.40030499999932,-248.18630593399936,-305.3690291837499
182.35,243.3039874999994,225.4154524999993,-248.3072709617493,-305.5051945189998
182.4,243.3137699999994,225.4203299999993,-248.43818973924934,-305.64052628899987
182.45,243.3099324999994,225.41158749999929,-248.5543004752493,-305.76928760349983
182.5,243.2940299999994,225.39077999999927,-248.65337215687433,-305.89498433987484
182.55,243.27414499999938,225.36598999999927,-248.75332643699934,-306.01997009412486
182.6,243.2530774999994,225.34001749999928,-248.8647054643743,-306.14723589449983
182.65,243.2286399999994,225.31067499999926,-248.97848712099935,-306.28060633449985
182.7,243.2022524999994,225.2793824999993,-249.0932494426243,-306.4165265034998
182.75,243.16813749999937,225.24036249999926,-249.22296690549933,-306.5514414908749
182.8,243.12269749999936,225.19001749999924,-249.36790919249935,-306.6919217521249
182.85,243.0713074999994,225.13372249999927,-249.5149353926243,-306.83902150212487
182.9,243.0175199999994,225.07502999999926,-249.65568533674931,-306.9846257379999
182.95,242.9626024999994,225.0152074999993,-249.78608926512428,-307.12780282799986
183.0,242.9074249999994,224.95512499999927,-249.8994051058743,-307.2685772887499
183.05,242.85265249999938,224.89544749999925,-249.99641739099934,-307.3984663679999
183.1,242.7972399999994,224.83512999999928,-250.09016896499932,-307.52416310437485
183.15,242.73611749999938,224.76910249999926,-250.18803933199933,-307.6523115032499
183.2,242.67311999999941,224.7011999999993,-250.2791921437493,-307.77352169724986
183.25,242.6138974999994,224.63707249999928,-250.3587240752493,-307.8902698654999
183.3,242.5381224999994,224.55639249999925,-250.44823427312434,-308.0124607244999
183.35,242.43729749999943,224.45066249999928,-250.5680225028743,-308.15649589637485
183.4,242.3536099999994,224.36206999999925,-250.70431042124932,-308.32235086449987
183.45,242.2988299999994,224.30238499999928,-250.82990909112428,-308.4705538626248
183.5,242.2473024999994,224.24595249999928,-250.9368751259993,-308.59036660899983
183.55,242.1967599999994,224.19050499999926,-251.03256351337433,-308.71062065462485
183.6,242.1351299999994,224.12396999999928,-251.1311203458743,-308.8359496416248
183.65,242.0582949999994,224.04222999999925,-251.23815993062433,-308.95828760037483
183.7,241.9787349999994,223.95776499999928,-251.3424046201243,-309.0766048326248
183.75,241.89914749999937,223.87327249999927,-251.45824567324934,-309.21125013712486
183.8,241.79786749999934,223.76708749999926,-251.60154534637437,-309.3521716976249
183.85,241.67595749999938,223.6402724999993,-251.7388874796243,-309.47257284299985
183.9,241.56199999999936,223.52140999999926,-251.85239945337435,-309.6021432061249
183.95,241.4488349999994,223.4033399999993,-251.9677992072493,-309.7423292678748
184.0,241.3363824999994,223.28598249999928,-252.08837196899933,-309.87219383049984
184.05,241.23140749999936,223.17610249999925,-252.20455625487435,-310.00097966162485
184.1,241.1175824999994,223.05737249999927,-252.3230451034993,-310.13094229074983
184.15,240.99648749999938,222.93137249999924,-252.44668244337433,-310.25850229062485
184.2,240.8777449999994,222.8077249999993,-252.5589931024993,-310.3778737377498
184.25,240.73999249999937,222.66506749999925,-252.65056269687432,-310.4790293324998
184.3,240.58006999999932,222.50023999999922,-252.73188434199935,-310.56863759687485
184.35,240.42625249999938,222.34151749999927,-252.80170768999932,-310.6536122191248
184.4,240.28774499999935,222.19810499999923,-252.85895400937434,-310.7254459303748
184.45,240.1567249999994,222.06217999999927,-252.91612677887431,-310.7868110427498
184.5,240.02852749999937,221.92907749999924,-252.96466969637433,-310.8471709734998
184.55,239.90148499999935,221.7971299999992,-252.99122120124935,-310.9012056149998
184.6,239.7773574999994,221.66809749999925,-252.99970395349933,-310.9463897548748
184.65,239.65804749999936,221.54388249999923,-252.99906652124935,-310.98355695837483
184.7,239.54586999999938,221.42679999999928,-252.99389351337436,-311.0169240849998
184.75,239.44121249999935,221.31723749999924,-252.97977193737435,-311.05095316049983
184.8,239.34234749999933,221.2134674999992,-252.97003883724935,-311.08432028712485
184.85,239.25049999999936,221.11671499999923,-252.97344664812434,-311.12396366974986
184.9,239.16091249999934,221.0222224999992,-252.97124015187433,-311.16973620862484
184.95,239.06493249999937,220.92133749999923,-252.95937410537434,-311.2128119187498
185.0,238.96672249999935,220.8182224999992,-252.96104123587435,-311.25228368499984
185.05,238.87505249999933,220.72164749999916,-252.98033581974934,-311.29325096537485
185.1,238.78712249999936,220.62881249999919,-252.99494772824934,-311.34157323324985
185.15,238.69830249999933,220.53508749999915,-252.99489869499934,-311.3958775576249
185.2,238.60867499999935,220.4405549999992,-252.99936072074934,-311.45101544724986
185.25,238.52070249999935,220.34767749999918,-253.03427239474934,-311.51012503012487
185.3,238.43378499999932,220.25585499999914,-253.09987888324935,-311.5805367771249
185.35,238.34211999999934,220.1592849999992,-253.17031514687432,-311.66440815124986
185.4,238.24370749999932,220.05596749999916,-253.22493818737433,-311.7565171113749
185.45,238.13911749999934,219.9464724999992,-253.26570933474932,-311.84985190274983
185.5,238.02600999999933,219.82845999999918,-253.30679919824934,-311.93941113387484
185.55,237.9086849999993,219.70622999999915,-253.35798991124935,-312.02345412437484
185.6,237.79155499999936,219.5841949999992,-253.42195378587434,-312.1051435188748
185.65,237.67221499999934,219.45994999999917,-253.49587141024935,-312.1867593634998
185.7,237.5495924999994,219.3324224999992,-253.57351556162433,-312.2679829421248
185.75,237.41999749999937,219.19792249999918,-253.64986033187435,-312.3482258557498
185.8,237.27766999999935,219.05068999999915,-253.71872753149935,-312.4267526056248
