recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,24.0,34.0,0.76,0.756,0.782,0.738,0.454,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,26.0,36.0,0.63,0.762,0.744,0.734,0.488,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,28.0,38.0,0.72,0.726,0.766,0.712,0.484,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,30.0,40.0,0.875,0.738,0.923,0.71,0.492,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,32.0,42.0,0.81,0.746,0.832,0.724,0.482,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,34.0,44.0,0.835,0.754,0.827,0.718,0.49,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,36.0,46.0,0.788,0.76,0.798,0.726,0.48,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,38.0,48.0,0.901,0.764,0.961,0.716,0.476,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,40.0,50.0,0.951,0.744,0.951,0.702,0.452,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,42.0,52.0,0.638,0.734,0.748,0.69,0.434,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,44.0,54.0,0.75,0.732,0.776,0.692,0.438,train
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,46.0,56.0,0.881,0.73,0.879,0.7,0.45,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,0.0,10.0,0.471,0.31,0.593,0.124,0.368,train
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,2.0,12.0,0.604,0.222,0.56,0.118,0.44,train
